patient_id,0,1,2,3,4,5,6,7
patient104,0.9272113,1.0349007,0.8182306,1.4088227,0.8823595,0.7689432,1.3412313,1.0052508
patient107,0.73816025,0.82240444,0.6834552,1.3227632,0.8047571,0.6412432,1.284241,0.77992016
patient109,1.0329899,1.2182441,0.8842936,1.5863639,0.773075,1.0031737,1.6882375,0.97604007
patient114,0.638104,0.66601205,0.5032945,2.335129,0.61322075,0.8016646,2.107622,0.5984316
patient117,1.4393072,1.6714668,1.3736751,1.8644525,1.1119841,1.5718497,1.9219342,1.2527319
patient121,0.61944294,0.77468514,0.5369567,3.0661838,0.65475595,0.7311821,2.75626,0.6225913
patient124,0.68127984,0.84546626,0.6595233,2.0123634,0.68133307,0.7872966,1.8113103,0.69134325
patient126,0.92283994,1.1410955,0.9236362,1.65368,0.88023084,0.8781551,1.5138353,0.8493317
patient131,0.6620746,0.7832062,0.58386815,2.5067296,0.61196715,0.7744529,2.3361683,0.6854555
patient137,0.6331922,0.8684427,0.60928917,2.4937634,0.60033053,0.8676052,2.3523412,0.7141795
patient140,0.6474626,0.7438656,0.6021504,2.0564766,0.7158393,0.6533317,1.8323904,0.69212633
patient141,0.82356286,1.1117532,0.81320226,1.7197703,0.8452537,1.0210781,1.9202555,0.7435568
patient143,0.8858066,0.9052318,0.7036259,1.885034,0.74948645,0.84910774,1.929219,0.7870396
patient147,0.58413666,0.76785725,0.50625396,1.9324969,0.5615073,0.6392625,1.9158458,0.52205694
patient153,0.9564235,1.0506656,0.81189924,1.275067,0.9095186,0.7315532,1.265915,0.95917416
patient159,0.9313858,1.0478129,0.84797627,1.6437033,0.8235957,1.0176792,1.4736469,0.8907454
patient160,0.8832346,0.99062705,0.7239904,1.7446388,0.7374724,0.9629535,1.6607164,0.8920667
patient164,0.6545396,0.78356004,0.55508405,1.8151487,0.7487121,0.5233798,1.7867168,0.62932855
patient169,1.5994946,1.9597137,1.5637715,1.4915271,1.1406001,1.3896395,1.6323158,1.3640264
patient170,0.73858875,0.78331894,0.63531184,2.192721,0.7056206,0.6851481,1.8800255,0.705022
patient171,0.9658257,1.1652428,0.8789795,1.0058486,0.7596533,0.8617722,1.3559693,0.8367553
patient176,1.1285805,1.4222779,1.075881,1.3894291,0.7858051,1.2770308,1.6311773,1.0095681
patient177,0.5039681,0.61009413,0.41247955,2.2996776,0.5272769,0.6522579,2.1878765,0.54060906
patient179,0.6691522,0.79336476,0.5954116,2.0225518,0.6543427,0.76655483,1.9012089,0.59302616
patient180,1.0419121,1.0960429,0.92645454,1.6129266,0.84733886,1.3205006,1.5958368,0.94647545
patient181,0.9894142,1.1076758,0.82614785,1.5132536,0.85479283,0.7114684,1.5229459,0.83085376
patient182,0.990736,1.0109878,0.81904626,1.7050291,0.8941099,0.7306567,1.6706846,0.9681376
patient183,0.6252788,0.7656518,0.5597923,2.6538157,0.5980321,0.6090965,2.4488645,0.5538174
patient186,0.74809986,0.869049,0.70711863,2.1699922,0.7646281,0.78795874,1.9789771,0.7692336
patient187,0.7219992,0.93689865,0.648177,1.8164773,0.720037,0.64639777,1.7755371,0.6913246
patient188,0.8737373,1.1368692,0.8758018,2.1787975,0.6996454,0.75524485,2.0759764,0.69736296
patient189,1.0355616,1.1810995,0.8880299,1.6734005,0.82678616,1.0267993,1.7680275,0.91867155
patient190,0.8963402,1.1251069,0.8450129,1.8094678,0.80426526,1.0863655,1.7496934,0.8134468
patient191,1.0715913,1.4460166,1.1546416,1.6101661,0.89841515,1.2120534,1.7211261,0.9663815
patient193,0.6883084,0.80501425,0.6256154,1.6257825,0.69120526,0.726222,1.4251581,0.7284645
patient194,0.76196593,1.0084728,0.7103579,2.1763105,0.72218674,0.82803804,1.8497065,0.71630126
patient195,0.7782489,1.0754031,0.72149533,2.557028,0.66512257,0.88812655,2.2460496,0.67942446
patient196,0.8943639,1.0437409,0.8718676,1.8865564,0.8242528,0.9456186,1.669297,0.97045815
patient197,0.8697318,1.0854046,0.8888051,1.8526312,0.87794554,1.0609283,1.8389391,1.0105495
patient198,0.5891426,0.77109385,0.558858,1.7102722,0.5864529,0.7244327,1.5706046,0.6569419
patient199,1.384942,1.6921153,1.3338988,1.5229548,0.847656,1.4258784,1.7751199,1.0483433
patient200,0.7490744,0.8339846,0.7002648,2.1403134,0.65344685,0.7961079,1.9645197,0.68304193
patient201,0.834778,1.0026996,0.8120368,1.5549678,0.8550999,0.911568,1.552598,0.9332389
patient204,0.5414168,0.71387845,0.46247175,2.4657192,0.53289974,0.52368253,2.3712885,0.53342956
patient205,1.3502624,1.4575765,1.2181803,1.5001942,1.0291439,1.495483,1.6376579,1.1391
patient206,0.7165764,0.7865391,0.63765764,2.6274343,0.74351966,0.8551514,2.495084,0.69453967
patient209,0.63235915,0.756,0.57536083,2.3319094,0.67789376,0.7891139,2.2314541,0.6713729
